作者,段子内容
净心居士,假期第一次去女友家，一切都比较顺利。女友父母看我也格外满意，我想这次肯定会成了。到了晚上，居然安排我和老丈人睡 一 起。那多尴尬呀，害的我不 敢 深 度 入睡 ，因为我已经习惯抱着女友一起睡。谁又能想到，半夜老丈人一个翻身却把我给抱住了，吓了我到天亮都不敢动，更不敢睡。
天热打鼓球,十八岁那年，我喜欢的女孩给我发来一张小时候家族的全家福，说只要猜出哪个是她，就答应和我在一起。我猜了几次都没猜对！她失望的说，看来我俩是没缘分了，当时我就在妈妈肚子里，这么明显你居然就看不出来！
五少爷的刀,晚饭后去我哥家玩，见我嫂子把上四年级的侄子打得哇哇哇直哭，忙问原因。嫂子气呼呼的说：他写作文说我妈妈头发胡子都白了，身上还在往外长白毛……咋的？我是白毛老鼠精啊？！骂完，继续打。我哥火上浇油说：该打！我看了都觉得瘆得慌，生怕半夜醒来，发现身边躺着个老妖怪！！！这下好了！侄子得救了，我哥遭殃了。。。
夏有凉风秋望月,男友出差在外，视频里对我千叮嘱，万嘱咐说:晚上千万不要一个人出门，不安全。当时我还有些小感动，要不是还没挂视频听到他和同事说的话:还不是我们那条街全是夜宵，烧烤，小龙虾，我又不在，没人拦着她。不知道她回去又胖成什么样了。
空城旧梦她与伞,我结婚那天，穿着帅帅的西装，看着同样打扮的花枝招展的她，心中感慨万分。我们是媒人介绍的，还记得相亲那天，她带着她表妹，我带着我一个堂哥作陪。我正回忆着过去，她款款的来到我身边，轻启朱唇：表妹夫，以后好好对我表妹，要不然我饶不了你。我连忙点头：会的会的，感谢堂嫂百忙之中，还过来参加我的婚礼啊。
(糗名昭著)~魅儿…,这几天加班，就睡在医院宿舍没回家，五一放假，正准备回家让老妈做点好吃的，她忽然打来电话，惊慌的说：闺女呀，天降异象了，小区的猫整夜的叫，傍晚时一群群的鸟在乱飞，怕是要地震啊，我和你爸都吓跑了！我安慰老妈：这都是正常现象，你们跑哪去了？她心有余悸：跑到桂林这边来了，顺便旅个游…我。。。
梅菜扣肉来了,今天买车，不知道使用说明书是电子版的，要登陆网站观看。于是质问销售说，哪有十几W的东西说明书都不给呢？估计当时语气不好，销售顶我一句：你娶媳妇时，丈母娘给你说明书了吗？噎的我白眼乱翻，一个人在风中凌乱……
我是谁∽谁是我,体检，么科候诊。。。。无聊拍个视频发给老婆，配音是：都是成双成对的，就我孤身无人陪伴。老婆秒回：你个傻子，难道那么大医院没有一单身女的，跟她坐一起去，谁会知道你们不是一起的。我。。。。
无书斋主,快一岁的儿子昨天讲话了，第一句话是叫爸爸，我很激动，差点抽他一巴掌！……特么，他不是叫我，是叫一个抱着八九个月女娃娃的帅哥！
小恩的老公8,有点伤感！不知爱情到底是什么？是对是错？昨天本来是个大喜的日子，小叔结婚。只是婚礼上出了点意外，新娘的伴娘竟然是小叔的初恋情人！婚礼照常进行，只是小叔和伴娘趁着大家不注意的时候，悄悄丢下众人开着宝马婚车私奔了……我伤感的是他们开走的宝马婚车是我的，是我的……
兴盛果业,同事接到电话说老婆在医院快生了，我开车送他到医院。同事有点紧张，让我陪陪他，医院信号差，我拿着手机来回找信号。同事又说：“你别走来走去的，搞得好像你是孩子他爹似的！”
石头，剪刀，破布,伙计家嫂子是个热心肠，在个小饭店做帮工，跟老板挺融洽的，头几天老板让嫂子再给饭店找个帮忙的，说店里忙，人手少，再添个人手大伙都轻巧些。嫂子马上回家在村里找了一个赋闲在家的闺蜜介绍给老板，老板也挺满意，当场就把嫂子的闺蜜留下了。现在吧，嫂子的闺蜜在饭店上班了，嫂子让老板炒鱿鱼了……[捂脸][捂脸][捂脸]
歌歌哒f,伙计家嫂子是个热心肠，在个小饭店做帮工，跟老板挺融洽的，头几天老板让嫂子再给饭店找个帮忙的，说店里忙，人手少，再添个人手大伙都轻巧些。嫂子马上回家在村里找了一个赋闲在家的闺蜜介绍给老板，老板也挺满意，当场就把嫂子的闺蜜留下了。现在吧，嫂子的闺蜜在饭店上班了，嫂子让老板炒鱿鱼了……[捂脸][捂脸][捂脸]
天热打鼓球,狗哥年轻时很是豪横，结婚后却被媳妇管得服服帖帖的。我们都不知道为什么。直到一天听他讲：结婚的前几天，准老丈人家说要杀猪，喊他去帮忙。他刚走到门口就只见，一头几百斤的大肥，猪，被老丈人一把按到在地，接着两个小舅子，迅速上前分别按住前腿后腿。最后他女朋友，上前捅刀，抽刀，放血……整个动作如行云流水，一气呵成。
天热打鼓球,小时候，我三婶家大屋和耳房之间有一道后门，后门外是她家的菜园子，山墙顶有一个葫芦蜂的蜂窝。。。。。。。有一天，我和堂弟，还有两个小伙伴在菜园子里捉蟋蟀。看着毫无动静的蜂窝，我一时手贱，掏出自制的小弹弓就打，啪的一声，打个正着。这下子闯大祸了！那些指头大的葫芦蜂全部从蜂窝里钻了出来，扇动翅膀，嗡嗡嗡的向我们扑了过来。堂弟他们三人离后门近，抢先冲了出去，闩上了后门，任我在外面哭爹喊妈，狂呼救命，就是不开！等到他们找来大人，打开后门时，我已顶着个大猪头，瘫在了地上，奄奄一息！。。后来，我爸我二叔三叔他们老哥仨论证了一个下午，得出一个结论：我之所以能够逃过一劫，是因为我皮子太厚，葫芦蜂们蛰不穿！不然，这一窝葫芦蜂，完全可以蛰死一头老牛了！！​
柠檬味的苏打水,刚下班，老爸打电话让回家，说有急事，我忙赶回家，就看桌子上放着两杯果汁，老爸老妈都戴着口罩坐在沙发上，一看到我，老爸就说：儿子快来，我跟你妈打赌呢，谁输了谁做一个月的家务，你快尝尝这两杯果汁哪杯是芒果汁哪杯是橙汁！我一脸疑惑：你们自己为啥不尝老爸瞪我：你妈不信我，说我尝了也会骗她，她又对芒果汁过敏，不能让她尝，只能让你尝了！我忙告诉他我对芒果汁也过敏，老爸大手一挥：我知道啊，不怕不怕啊，你皮糙肉厚的，过敏也没事！
吃了两碗又盛,一个妈妈的智慧。有个大学生姐姐，带着两个小学高年级的妹妹来买文具，这两个小的跟土匪似的，挑了很多东西，放了一堆，我一算，167元。姐姐说不行，妈妈就给了100元，筛下去一些。俩小的都不想把自己要买的筛掉，无法裁决之际，姐姐给她妈妈打电话，她妈妈说，给俩小的一人50块钱，随便花，，，，嘿，问题迎刃而解，俩小的都花了不到50元，还都挺高兴！
绦子,公交车坐够了，准备骑行去单位！下载地图查询家距单位最近距离，忽然发现有智行选项，也就是最聪明的出行方式了吧！打开一看有点毛，因为它建议我坐公交车😓…～
山鹰寂寞飞,公交车坐够了，准备骑行去单位！下载地图查询家距单位最近距离，忽然发现有智行选项，也就是最聪明的出行方式了吧！打开一看有点毛，因为它建议我坐公交车😓…～
五少爷的刀,去城里办事，偶遇一个村里一起长大的发小。几年不见了，听说他过的还不错，自己还开了一个小店，日子过的有滋也有味的，见到我，非常高兴，非要和我一起喝两杯。虽然有事在身，也架不住发小的生拉硬拽的，于是，我便买了些东西跟他回家了。饭桌上，听说我还是单身，就对着他媳妇说，让她把她表姐介绍给我，表姐肤白貌美的，性格也特别好，就是有个小缺点，吃的有一点点多！我心想，能吃是福，这也没啥啊！我就顺口说了一句，有照片没？看看呗？看着发小手机里的膘肥体胖的表姐，我打了好几个寒颤，那一刻，我怂了。。怂了。。。
小恩的老公8,半夜媳妇牙痛，痛的受不了，大喊大叫！家里又没有止痛药。我上网查了快速止痛的方法，就是把牙痛的蛀牙给拔了，一劳永逸！我找了把 大钳子，准备给媳妇拔牙，不成想，媳妇突然抢过大钳子一下子把我敲晕了……
向昨天说再见。,有的时候，老天爷让你结束一段关系并不是没收你的幸福，而是老天爷一直将你的不快乐看在眼里，连老天都心疼你，觉得他不配，所以放你走
姐姐掉沟里了,那年我得了急性肺炎，在医院里整整躺了十天。男友寸步不离守在我身边，端茶送水，嘘寒问暖，关怀到无微不至。出院时，男友整整瘦了一大圈，顶着双熊猫眼，胡子拉碴的，憔悴而又疲惫。我感动得​泪眼婆娑的，埋怨他不爱惜自己的身体，病房里只有我一个人，又不是没床位，咋就不会好好睡一觉呢？男友看着我，有气无力的说：我也很想睡啊！可是你打呼噜的声音惊天动地的，哪里睡得着？！见我不信，男友把手机里的录音放给我听……我吓了一跳！卧槽！里面扯风箱的那个人，真的是我？！我不淡定了。。。​
偷惢,看上了宝马很久了，怕家里人说，瞒着家里人贷款买了一辆，赶上疫情期间没工资入账，贷款逾期了，电话打到我爸那里催债！等我回家后，我爸坐在沙发上一声不吭看着我，过了一会默默的打开了地下室的仓库，指着仓库说到：这是你妈前些年囤的几吨金条，拿点去换了把贷款还上吧……
-小门神~,我做了一个滑翔机，跟平时遮阳伞一般大小！为了测试滑翔机的稳定，我把老妈养的宠物猪绑在下面！我从二十层高天台，慢慢放下滑翔机！滑翔机下的猪空中一声惨叫，不久后平安落地！为了我自身安全，我决定再对猪做一次实验！惊魂未定的猪，说啥也不让我再绑一次！那头猪咬了我一口，接着毅然决然撞在路边一棵大槐树上，生 死未 卜……
姐姐掉沟里了,二十岁那年，和初恋分手了，痛不欲生。我把自己锁在房间里，睡了哭，哭了睡，整整三天没出来。谁敲门也不开。第四天早上，我妈拍着房门喊：丫头，快出来！XX(我男友)来了！我从床上蹦起来，赤着脚，拉开房门，连声问：在哪里？在哪里？我爸从大门口进来，气呼呼的说：被我放狗撵跑了！我一听就哭了：爸，你真是我亲爸啊！你咋不让他进来呢？我爸火了：哭什么？他是带着他女朋友来的，说是来还你织给他的毛线衣！！
无书斋主,本人读书时跳过级，初三英语老师指桑骂槐的在课堂上说：某些人别以为厉害，跳级得跳得好，成绩不行跳了也是害人！！我很恼火，你不是瞧不起我吗？看我怎么扫你的脸！于是，我拼命的攻英语……月考的时间，我英语成绩全校第二，她宣布的时间，我昂起了头！英语老师：某些人别以为英语跟上来了就可以抬起他那孔雀头，其他的不行别以为我不知道！！……我不得不低下我昂起的头，因为除了英语，其他的我都是五十多分！！
五少爷的刀,抱着小侄女举 高 高，逗得她一直笑个不停。后来有些累了，我就把小侄女往肩膀上一扔，准备扛抱着她回家。谁知道乐 极 生 悲，力气用大了，直接把小侄女扔出去了，脑袋先着地，磕起了很大一个犄 角，疼得哇哇哇直哭。。。。
歌歌哒f,和我哥一家出去玩，回来时嫂子说想练下车，于是我和侄子坐后面，我哥坐副驾驶，起步时有点小坡、车抖几下就熄火，抖几下就熄火，一连好几次车没往前开反而倒退了……我哥：要不你加点油，嫂子深吸了一口气然后又重新打火，期间我们大气都不敢出，就在离合放的差不多时嫂子突然一脚油门下去车都跳了起来，吓的侄子连忙抓着我喊：抓紧了！要起飞了……
柠檬味的苏打水,早上我出门上班，隔壁王叔的孙子提一个大垃圾袋要下楼去扔。我说顺便帮他带下去扔。晚上我回来才知道这屁孩子把课堂作业都塞垃圾袋里了，王叔气急败坏，我才想起来我开车锁，把袋子放墙角忘记丢了，赶紧跑下去提上来。果然小孩说话不算数的，那小子早上还说要认我做大哥，现在就扬言从此跟我绝交！
吃了两碗又盛,本地水稻快要插秧了，雇工却遇到困难，就连卷秧盘都炒到400一天了。刚刚社区群里又有人发招工信息，我评论了一句:今年应该不缺人啊，大学生现在都在家呢！有人回我:我儿子自从上了大学，不到中午都起不来。
义行天下7,记得有次下班几个要好的同事聚会，吃饱喝好后，大家纷纷学起了我们领导张总的口语，我也站起脸一拉双手掏口袋道:你们这些人天天就知道瞎几 把搞！不好好上班！下 面掌声四起，，同事们纷纷夸我学的最像，当我正心里美滋滋的享受夸奖的乐趣时，他们竟然一致表示如果我能再给他们加点工资那就更像了……卧槽……
义行天下7,带儿子去逛商场买玩具，许久没逛，儿子在商场里疯 跑啊，突然儿子在不远处喊到:爸爸快来看呀，看这是怎么回事？我以为儿子又发现什么好玩的玩具了，边走过去边说:宝 贝，看上什么尽管买！谁知儿子望着那一排搓衣板说:爸爸，你看这搓衣板跟咱家的是不是不一样？我:哪里不一样？都是一块搓衣板！儿子:咱家那块搓衣板上有两个“圈 圈”，那两个“圈 圈”还很光滑！你看这些都没有！卧槽，把我气的，特么还想要玩具，走回家……
孤心傲月,昨天，刚确定关系的女朋友家庭聚会，非要让我去露露面，认识一下她家的人，也顺便考察考察我……不能割，快有用了……吃的差不多，喝的也差不多的时候，女朋友起身去洗手间了，她妈马上凑过来跟我悄悄的说，这闺女还没谈过恋爱，她啥都不懂，你该搂就搂，该抱就抱，不用不好意思，多教着她点…
吃了两碗又盛,一个月前我发了个帖子，说媳妇吃饭时讲她小时候不吃辣椒，她妈妈拌凉菜偏放辣椒油，，，，，割，，，，我刚刚炒酸辣土豆丝时才突然觉醒，我媳妇那时的意思是不是让我炒菜少放辣椒？
leo咫尺天涯,无聊在家和侄子玩脑筋急转弯，他问我答。　侄子：“什么情况下，一加一等于一？”　　我：“算错的情况下。”　　侄子：错，一群羊加上一群羊的时候。再问，什么情况下，一减一等于一？”　　我：一群羊减一群羊的时候。”　　侄子：“那是两群羊了，应该是算错的时候，继续问，什么情况下，一乘一等于一？”　　我想了很久：“不知道。”　　侄子：“你笨呀，一乘一本来等于一呀，你这么傻我奶奶知道吗？”　　我崩溃的说：“应该不知道。”　　老妈神奇的出现在我身后补刀：“不，我知道！”
千丝雨ベ万人迷,小时候晚上，经常搬个小板凳，拉着妈妈去看星星，让她给我讲星座的故事。有一天是阴天，晚上没有星星，我缠着妈妈:我要听星座之神宙斯的故事!妈妈笑:现在没有星星，我看不到星星，怎么给你讲星座的故事啊！我把藏身后板砖拿出来，对着自己脑袋就是一下:好多星星，妈妈，你看到了吗？快给我讲故。。。
石锅拌着饭,偶然看见电视里冷战时亲老婆一口可以立见奇效，我立马心花怒放的冲进房间掀开老婆被子就亲了下去。可是忘了昨晚老婆为了撵我出房间把小姨子叫来作伴……不说了，我得去医院看看这两颗牙还能安回去不！
山鹰寂寞飞,偶然看见电视里冷战时亲老婆一口可以立见奇效，我立马心花怒放的冲进房间掀开老婆被子就亲了下去。可是忘了昨晚老婆为了撵我出房间把小姨子叫来作伴……不说了，我得去医院看看这两颗牙还能安回去不！
冰清素云,偶然看见电视里冷战时亲老婆一口可以立见奇效，我立马心花怒放的冲进房间掀开老婆被子就亲了下去。可是忘了昨晚老婆为了撵我出房间把小姨子叫来作伴……不说了，我得去医院看看这两颗牙还能安回去不！
空城旧梦她与伞,说一说我小叔叔的事，他从小就喜欢音乐，可是当时穷，哪里有钱买乐器啊。他自己就用竹子做笛子，用泥巴做 哨 子，用三片树叶都能吹 出一首歌。我爷爷常常苦口婆心的劝他，要他好好读书，长大后才能找到好工作。我小叔叔却总是回答，他以后一定要在音乐方面出人 头 地。三十年过去了，我小叔叔现在是十里八乡最有名气的，红 白 喜 事 唢 呐 手。有志者，事竟成！！
夏有凉风秋望月,侄子:红色加白色等于粉色，那辣椒油加白开水，为什么不变成粉色呢？我:傻孩子，白开水是透明的，牛奶才是白色。侄子:那我试试辣椒油加牛奶!我:别试了，我知道，等于拉肚子!
姐姐掉沟里了,侄子:红色加白色等于粉色，那辣椒油加白开水，为什么不变成粉色呢？我:傻孩子，白开水是透明的，牛奶才是白色。侄子:那我试试辣椒油加牛奶!我:别试了，我知道，等于拉肚子!
芭蕉窗下听雨声,老公打电话叮嘱我说：亲戚来了，别吃凉的。正在喝啤酒的我忐忑的说：要不，你回来把啤酒热下？[捂脸][捂脸]
雪里黄蓝绿,老公从过年到现在一直上班，可能是累着又上火，鬓边起了两个大痘，又痒又疼的。昨天休假，干脆就剃了光头。一到家，我打趣他，大师，好久不见呦！老公抿嘴一笑，单手作揖：阿弥陀佛。我哈哈笑起来，旁边的闺女拉着我进了卫生间，着急问：“妈妈！爸爸怎么是和尚？难道我的爸爸不是他？”
我是谁∽谁是我,前几天在老家，老妈要跟侄儿视频，内容如下，老妈：大孙子出去两月了，挣多少钱了？侄儿：奶奶你能不要整天就问挣多少钱好吗？你不是应该问问我谈没谈女朋友吗？：那你谈女朋友啦？：没！现在姑娘不好骗了。：没谈女朋友，不问你挣多少钱，我问什么？： 可以问我吃的好吗，休息好的。：一个单身狗，一人吃饱全家不饿，一人关灯全家休息了，有啥好问的。：奶奶咱还是聊聊挣钱吧。。。。。。。。。。。。。。。。。。。。。。那个啥？我就想知道，一个八十多岁的农村老太太怎么会知道《单身狗》这个新名词的？
老巫婆～～,今天买了个包，挎在肩膀得瑟地冲男友眨眨眼。“包好看还是我好看？”男友：“都好看，好看的我想犯 罪!”我勾 勾 手 指：那你 来 呀～于是男友激 动地上前一把摁住我的包，从里边拿了一百块钱说：我要去买烟！我…我特么……
放弃or被放弃,三年没联系的土豪大学同学问我：“二手的玛莎拉蒂30万要不要，我才开了三个月。”我说：“你没事吧？倒卖二手车去4S店。 ”他说：“我懒得跑，你开个价，我觉得能卖就卖给 你。”我心一横，说：“5万。 ”他：“我三个月前买都花了100多万，你才给5万？加点 呗。”我：“我手上就5万，多我也没有了。”他：“成交，卖你了。”
诸葛思慧,开学了，一个学霸居然把寒假作业全写完了。但是他在寒假作业的最后加了一段话:我这个作业里面有30个错题和三十个错别字，希望老师把这些错误都找出来，千万别用一个“阅”换我们一个月!
骑着二哈啃黄瓜,上司在公司自动售卖机，买凉茶，投币进去，选择好商品，但是商品没掉不来，没反应。。。我路过，刚好看到，我走过去，用力拍在售卖机上:欠揍，她是我老大，你也敢不敬，。。。咚的一声，凉茶掉了出来。。。上司一时间都懵了。。。然后我讪讪解释:就得凶一点，这机器比较狗。。。不过我打死不会告诉上司，这机器传送系统有点问题，容易卡住商品。。。。
天热打鼓球,阳台上收拾出了一小块空地，打算种点啥，于是网购了一些种子和营养土。到货后，我问店家播种时有什么要注意的。店家说播种时，记住别埋太深，种子会出不来，也别埋太浅，发了芽会倒。我问到底埋多深呢，能不能具体点？店家：看来您是真的不懂，那我说详细点，土壤要蓬松，保持潮湿，以手掌按上去微微有湿意为佳，然后用手指轻轻用力按一个小坑，放入种子，埋上土就好了。我好像懂了，说声谢谢后正打算下线，店家又接着说：记住手指按时别太用力，这样坑太深，种子出不来，也别按太轻，这样坑太浅，发了芽会倒……
骑着二哈啃黄瓜,下班回家，看到妈妈在削土豆皮，我看着发芽了，提醒妈妈:妈，土豆都发芽了，有毒不能吃。妈妈一脸鄙夷:小时候你闹着吃地窖的土豆，我看到都发芽了，只好去掉芽和皮的大部分，你不一直都这么吃着长大的。。。
冰清素云,骑小 电 驴出门，半路突遇狂 风 暴 雨，淋了一身，看到旁边有凉亭，连忙跑去躲雨，刚好一清 洁 工阿姨也在，阿姨身穿雨 衣，倒也没淋湿​。凉亭小，根本挡不住风雨，我抱着胳膊缩在角落瑟瑟发抖，这时阿姨手里拿着一个黑色的东西走了过来，她问我:姑娘，看你都淋 湿了，冷不冷啊？我点点头，接着阿姨摊开手里的东西，那是一个超大号垃 圾 袋，阿姨把垃 圾 袋剪出三个洞，让我穿上别冻着了。别说，阿姨这件别具的雨 衣还挺合身，跟长裙一样，穿上顿时感觉不冷了！​
雪里黄蓝绿,半夜又饿的睡不着。我拽着老公去了楼下那家熟悉的烧烤店。老公打着哈欠说不想吃，我说都怪你，非要拉我走路锻炼，消化太快了就饿～安排我们坐下的老板娘就批评我老公，不要强迫你媳妇多走路运动。我连连点头，就是。老板娘认真对他说：“晚上吃东西最容易长胖了，你媳妇这裙子新买的吧？本来就勒，再吃胖些就穿不下了！”
就是坤,骑着电动车去取钱，到银行发现没带锁，刚好银行门口停了辆运钞车，押运员站在那我就过去说：不好意思，我去取点钱很快就出来，麻烦你帮我看一下车子。 等我出来的时候押运员对我说：记住今天吧，有人拿枪为你守护电动车。
雪里黄蓝绿,老公有个同学是武 警，听说从小就练散打，参加比赛未有败绩!昨天有幸见到，果然器宇轩昂英姿飒爽!我崇拜地说:听说你打遍身边无敌手！太厉害了!他同学说哪里，前年我遇上一个人，让我一败涂地啊……我不信，还有这样的高手？是哪的人?他说:在我家。前年我女儿出生了。
我是谁∽谁是我,老公有个同学是武 警，听说从小就练散打，参加比赛未有败绩!昨天有幸见到，果然器宇轩昂英姿飒爽!我崇拜地说:听说你打遍身边无敌手！太厉害了!他同学说哪里，前年我遇上一个人，让我一败涂地啊……我不信，还有这样的高手？是哪的人?他说:在我家。前年我女儿出生了。
我是谁∽谁是我,去年夏天。。。。。。工地上热的口渴，工地边上刚好有卖绿豆粥的，便去买了一碗，感觉这粥不但解渴还压饿，准备给一起做活的兄弟都买一碗。于是便问老板，绿豆粥还有多少。老板说没有了。“我：可惜，这么好买的绿豆粥为啥不多煮点。老板道：本来煮的挺多的，老婆去遛狗，半路被人拉去跳广场舞了，两条二哈自己回来把一桶粥吃的差不多了，如果不是隔壁老板娘买菜回来看到，连你恐怕也吃不到这一碗了。。我。。。。心里把老板十八代祖宗问了无数遍。。。。。
出门太难,参加一个关系很好的同事的婚礼，看到仙女般婀娜多姿的新娘，和其貌不扬的新郎，我眼睛都红了，心里各种羡慕嫉妒恨啊！同事和新娘来敬酒时，我借着酒劲，缠着同事，非要他把小姨子介绍给我，不然不罢休！同事无法，招手叫来一个十七、八岁的沙 马 特小伙，说：我只有这个小舅子，要不，你们认识一下？！小伙看了我一眼，扭头就走：我不和丑人打交道！我。。。
柠檬味的苏打水,母亲节，在姥姥家聚餐，我跟表弟撞衫了，我人比他高，身材比他好，气质这块拿捏得稳稳的！我骄傲地斜了他一眼：撞衫不可怕！谁丑谁尴尬！你看你哥我，是不是比你更适合这衣服啊！旁边的长辈们都盯着我们看，都说确实我穿起来更好看，我更嘚瑟了！表弟叹了口气：唉！哥，这衣服我也不咋喜欢，可是没办法，我女朋友买的，今天非得让我穿！完败……
山鹰寂寞飞,母亲节，在姥姥家聚餐，我跟表弟撞衫了，我人比他高，身材比他好，气质这块拿捏得稳稳的！我骄傲地斜了他一眼：撞衫不可怕！谁丑谁尴尬！你看你哥我，是不是比你更适合这衣服啊！旁边的长辈们都盯着我们看，都说确实我穿起来更好看，我更嘚瑟了！表弟叹了口气：唉！哥，这衣服我也不咋喜欢，可是没办法，我女朋友买的，今天非得让我穿！完败……
陌上花开｀,今天公交车上，感觉鼻子里好痒。好想挠一下，可是我是一个有形象的人呀！但是。真的忍不住了，就用手机挡着挖鼻屎，就在这时，旁边一个大妈说到：现在的年轻人呀，挖个鼻屎还要自拍呀！
梦爹爹,半夜醒来看见一个红点 以为是电源没关  用手一按 蚊香
饮马瀚海！,前几年我去相亲，对女孩挺有感觉的。可能我有点钢铁直男就问相亲的女孩说：你家几亩田啊？相亲女孩停顿了一下说：怎么了，你还想在我家种田啊？
空城旧梦她与伞,十八岁的时候，在一家工厂上班，那天和几个工友相约去吃自助火锅。那是一家新开的店，不大，招牌打着新店开张优惠特价29一位。六个人，都是十八九岁的小伙子，而且工厂食堂伙食又特差，这下全部挑的肉食，整张桌子堆积如山，服务员都看得目瞪口呆。大吃大喝几个小时，那长得还挺漂亮的老板娘过来，每个人撒一支烟：小兄弟们差不多就行啦，姐姐我也是小本生意啊。我们异口同声道：我们还没吃饱嘞。老板娘涨红着脸：那你们牙齿嚼得累吗？
山鹰寂寞飞,十八岁的时候，在一家工厂上班，那天和几个工友相约去吃自助火锅。那是一家新开的店，不大，招牌打着新店开张优惠特价29一位。六个人，都是十八九岁的小伙子，而且工厂食堂伙食又特差，这下全部挑的肉食，整张桌子堆积如山，服务员都看得目瞪口呆。大吃大喝几个小时，那长得还挺漂亮的老板娘过来，每个人撒一支烟：小兄弟们差不多就行啦，姐姐我也是小本生意啊。我们异口同声道：我们还没吃饱嘞。老板娘涨红着脸：那你们牙齿嚼得累吗？
空城旧梦她与伞,和媳妇在公园散步，看到几只五颜六色的蝴蝶，姿态轻盈，在娇艳的花丛中穿梭往来，络绎不绝。看到如此美景，媳妇连忙拿起手机拍照。拍了好几张后，我在一旁提醒道：媳妇你看，这只蝴蝶好有意思哟，一下和这只玩，一下围着另一只绕圈圈。媳妇听后，拉下脸，收起手机，脱掉一只高跟鞋，‘啪’的一声，把那只蝴蝶打落在地上，并踩上一脚。这突如其来的动作让我十分不解，媳妇盯着我恶狠狠的说道：花心渣男就是这下场！！
